ID,URL,Name,Code,Legal form,Status,Registration Date,Capital,Address,Deletion Date,Tempo richiesta,Tempo estrazione Name,Tempo estrazione Code,Tempo estrazione Legal Form,Tempo estrazione Status,Tempo estrazione Reg. Date,Tempo estrazione Capital,Tempo estrazione Address,Tempo estrazione Del. Date,Tempo estrazione dati Rapp.,Tempo estrazione Partners,Tempo estrazione Activity
28,https://ariregister.rik.ee/eng/company/80171891/Aiandusühing-AESPA-SÕPRUS?search_id=16a1817&pos=28,,,,,,,,,76494000,0,0,0,0,0,0,0,0,0,0,1002400
29,https://ariregister.rik.ee/eng/company/80161303/Aiandusühistu-Aespa?search_id=16a1817&pos=29,,,,,,,,,81684700,0,0,0,1011500,0,0,0,0,0,0,932600
30,https://ariregister.rik.ee/eng/company/80074981/Aiandusühistu-AESPA-12?search_id=16a1817&pos=30,,,,,,,,,91463000,0,1000500,0,0,0,0,0,0,0,0,0
31,https://ariregister.rik.ee/eng/company/80067372/Aiandusühistu-Aespa-14?search_id=16a1817&pos=31,,,,,,,,,64825300,0,0,0,0,0,0,0,0,0,0,0
32,https://ariregister.rik.ee/eng/company/80074828/Aiandusühistu-Aespa-29?search_id=16a1817&pos=32,,,,,,,,,85477000,1000900,0,0,0,0,0,0,0,0,0,0
33,https://ariregister.rik.ee/eng/company/80092855/Aiandusühistu-Aespa-Allika?search_id=16a1817&pos=33,,,,,,,,,87950400,0,0,999300,0,0,0,0,0,0,0,0
34,https://ariregister.rik.ee/eng/company/80063612/Aiandusühistu-Aespa-Fantaasia?search_id=16a1817&pos=34,,,,,,,,,64883900,0,0,0,0,0,0,0,0,0,0,0
35,https://ariregister.rik.ee/eng/company/80023558/Aiandusühistu-Aespa-Kaseke?search_id=16a1817&pos=35,,,,,,,,,102753700,0,997000,0,0,0,0,0,0,0,0,0
36,https://ariregister.rik.ee/eng/company/80133583/AIANDUSÜHISTU-AESPA-KUUSEKE?search_id=16a1817&pos=36,,,,,,,,,130248700,0,0,0,0,0,0,0,0,0,0,0
37,https://ariregister.rik.ee/eng/company/80107752/Aiandusühistu-Aespa-Loodus?search_id=16a1817&pos=37,,,,,,,,,74610000,0,0,0,0,962800,0,0,0,0,0,0
38,https://ariregister.rik.ee/eng/company/80136713/Aiandusühistu-Aespa-Mobile?search_id=16a1817&pos=38,,,,,,,,,65504800,0,1042500,0,0,0,0,0,0,0,0,0
39,https://ariregister.rik.ee/eng/company/80064190/aiandusühistu-AESPA-NURME?search_id=16a1817&pos=39,,,,,,,,,92264000,0,0,0,0,957400,0,0,0,0,0,0
40,https://ariregister.rik.ee/eng/company/80039529/Aiandusühistu-Aespa-Puravik?search_id=16a1817&pos=40,,,,,,,,,76522400,0,0,0,0,0,0,0,0,0,0,0
41,https://ariregister.rik.ee/eng/company/80140293/Aiandusühistu-Aespa-Rosinka?search_id=16a1817&pos=41,,,,,,,,,77754800,0,0,0,0,0,0,0,0,0,0,0
42,https://ariregister.rik.ee/eng/company/80097806/Aiandusühistu-Aespa-Rukkilill?search_id=16a1817&pos=42,,,,,,,,,81029100,0,0,0,0,0,0,0,0,0,0,0
