Company ID,Category,Hash
1393,Tech,5392941245537608590
1394,ITsecurity,2028367090288460929
1394,Tech,5392941245537608590
1394,Software,6273975210915946900
1396,Healthcare,1473658128705581606
1397,MediaPress,-6159643471181631199
1399,OilGas,7683904390150838630
1399,OilGasEquipmentServices,-5823085833726200737
1399,Energy,-2882595272621617431
1400,Telecommunication,-3862064693147789081
