ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
832,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
838,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Annual report
839,Taxi operation,49321 (EMTAK 2008),49.32,Electronic submission
841,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Electronic submission
842,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report
843,Other service activities,96099 (EMTAK 2008),96.09,Electronic submission
844,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report
845,Travel agency activities,79111 (EMTAK 2008),79.11,Annual report
846,Logging,02201 (EMTAK 2008),2.2,Field of activity code data encoding by RIK
847,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Electronic submission
849,Retail sale of furniture and articles for lighting,47591 (EMTAK 2008),47.59,Electronic submission
850,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission
851,Wholesale of equipment used in food industry and commercial activities,46693 (EMTAK 2008),46.69,Annual report
853,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,Annual report
854,Other passenger land transport,49399 (EMTAK 2008),49.39,Electronic submission
857,Translation and interpretation activities,74301 (EMTAK 2008),74.3,Annual report
858,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,Electronic submission
860,Media representation,73121 (EMTAK 2008),73.12,Annual report
866,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
867,"Activities of churches, congregations and monasteries",94911 (EMTAK 2008),94.91,Annual report
868,Hairdressing and other beauty treatment,9602 (EMTAK 2008),96.02,Annual report
869,Car washing and other services,45202 (EMTAK 2008),45.2,Annual report
871,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
873,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report
874,Retail sale of cosmetic and toilet articles in specialised stores,47751 (EMTAK 2008),47.75,Electronic submission
875,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,Annual report
876,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission
877,Forwarding agencies services,52291 (EMTAK 2008),52.29,Electronic submission
878,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.9,Electronic submission
879,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.9,Annual report
880,Hotels,55101 (EMTAK 2008),55.1,Annual report
882,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report
884,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,Annual report
885,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report
886,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
889,Retail sale of cosmetic and toilet articles in specialised stores,47751 (EMTAK 2008),47.75,Annual report
891,Other social work activities without accommodation n.e.c.,88991 (EMTAK 2008),88.99,Annual report
892,Credit institutions (banks),64191 (EMTAK 2008),64.19,Annual report
893,Fund management activities,66301 (EMTAK 2008),66.3,Annual report
895,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report
897,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,Electronic submission
899,Silviculture and other forestry activities,02101 (EMTAK 2008),2.1,The undertaking notified himself/herself
902,Other sports and recreational education,85519 (EMTAK 2008),85.51,Annual report
903,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report
904,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report
905,Sale of cars and light motor vehicles,45111 (EMTAK 2008),45.11,Electronic submission
906,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission
909,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,Electronic submission
910,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report
911,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report
914,Car washing and other services,45202 (EMTAK 2008),45.2,Annual report
915,Manufacture of optical instruments and photographic equipment \xc2\xa0,26701 (EMTAK 2008),26.7,Electronic submission
916,Motion picture and video production,59111 (EMTAK 2008),59.11,Annual report
917,Telecommunication services in fixed communications network,61101 (EMTAK 2008),61.1,Electronic submission
918,Financial consulting,66191 (EMTAK 2008),66.19,Annual report
919,Holiday village and camp,55203 (EMTAK 2008),55.2,Annual report
920,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,Annual report
921,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report
922,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission
923,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report
925,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,Annual report
926,Insulation work activities,43291 (EMTAK 2008),43.29,Annual report
928,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission
