ID,URL,Name,Code,Legal form,Status,Registration Date,Capital,Address,Deletion Date,Tempo richiesta,Tempo estrazione Name,Tempo estrazione Code,Tempo estrazione Legal Form,Tempo estrazione Status,Tempo estrazione Reg. Date,Tempo estrazione Capital,Tempo estrazione Address,Tempo estrazione Del. Date,Tempo estrazione dati Rapp.,Tempo estrazione Partners,Tempo estrazione Activity
1217,https://ariregister.rik.ee/eng/company/12475033/OÜ-Spartak?search_id=6b4eef4&pos=1217,OÜSpartak(12475033),12475033,Private limited company,Deleted,17.05.2013,,,23.08.2017,707140929,368984,355824,286080,,286061,,,283642,299,229,206
1218,https://ariregister.rik.ee/eng/company/12471822/Spartaks-OÜ?search_id=6b4eef4&pos=1218,SpartaksOÜ(12471822),12471822,Private limited company,,10.05.2013,Capitalis2 500 €,                        Harju maakond Tallinn Nõmme linnaosa Liipri tn 1 10917                            ,,761027317,484449,558034,1090664,338078,1047874,1081252,1052247,1071641,435,627,220
1219,https://ariregister.rik.ee/eng/company/14222460/Spartalog-Estonia-OÜ?search_id=6b4eef4&pos=1219,SpartalogEstoniaOÜ(14222460),14222460,Private limited company,Enteredintotheregister,16.03.2017,Capitalis2 500 €,                        Harju maakond Tallinn Haabersti linnaosa Oja tn 19 13516                            ,,871218382,428545,1287037,1061303,305028,1019927,1070173,1056996,497841,391,277,302
1220,https://ariregister.rik.ee/eng/company/14218607/Sparta-Logistics-OÜ?search_id=6b4eef4&pos=1220,SpartaLogisticsOÜ(14218607),14218607,Private limited company,Enteredintotheregister,09.03.2017,Capitalis2 500 €,                        Harju maakond Tallinn Lasnamäe linnaosa Punane tn 42 13619                            ,,680052473,390480,1231083,1053659,324065,514725,1069896,1244565,1025630,502,209,161
1221,https://ariregister.rik.ee/eng/company/11327046/Spartaman-OÜ?search_id=6b4eef4&pos=1221,SpartamanOÜ(11327046),11327046,Private limited company,,29.11.2006,Capitalis3 198 €,                        Harju maakond Tallinn Põhja-Tallinna linnaosa Härjapea tn 17-1 10320                            ,,739800249,454374,1109443,1157818,331020,1106590,393359,1196435,641351,485,363,280
1222,https://ariregister.rik.ee/eng/company/11133431/Spartan-Grupp-OÜ?search_id=6b4eef4&pos=1222,SpartanGruppOÜ(11133431),11133431,Private limited company,Deleted,26.07.2005,,,02.03.2010,810428272,391852,1016024,1347585,,1026373,,,1040106,461,264,13816
1223,https://ariregister.rik.ee/eng/company/16602882/Spartan-OÜ?search_id=6b4eef4&pos=1223,SpartanOÜ(16602882),16602882,Private limited company,Enteredintotheregister,28.10.2022,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa Valge tn 13 11415                            ,,895377787,654245,597096,561678,471450,523354,527091,466214,537997,407,297,325
1224,https://ariregister.rik.ee/eng/company/14658625/SPARTANRD-OÜ?search_id=6b4eef4&pos=1224,SPARTAN.R.DOÜ(14658625),14658625,Private limited company,Enteredintotheregister,11.02.2019,Capitalis2 500 €,                        Ida-Viru maakond Narva linn Rahu tn 16b-38 20606                            ,,723492947,392899,1002880,1077797,339256,1324285,1292536,1111358,1019071,458,276,329
1225,https://ariregister.rik.ee/eng/company/16058763/Spartao-Estonia-OÜ?search_id=6b4eef4&pos=1225,SpartaoEstoniaOÜ(16058763),16058763,Private limited company,Enteredintotheregister,22.09.2020,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa Ahtri tn 12 10151                            ,,900552236,495333,1273500,550272,289382,380502,337703,481335,505931,444,200,220
1226,https://ariregister.rik.ee/eng/company/12464041/OÜ-Sparta?search_id=6b4eef4&pos=1226,OÜSparta(12464041),12464041,Private limited company,Enteredintotheregister,26.04.2013,Capitalis2 500 €,                        Harju maakond Tallinn Kesklinna linnaosa Pärnu mnt 139c 11314                            ,,753484548,411761,1262731,1048120,392288,1148280,1120412,1150790,1383888,840,202,163
