Company ID,Category,Hash
178,Toolmanufacturers,6447818282228269151
178,Manufacturing,918788116521242338
179,CosmeticsandBeauty,-1391700480064620338
179,Consumergoods,3574918603920959279
180,Hotels,-2209076433672162417
180,Gambling,-3256085164464164845
180,Entertainment,-5311217246468775200
180,Travel,2883696693193604344
181,Hotels,-2209076433672162417
181,Travel,2883696693193604344
182,Software,766138134349121984
182,ITsecurity,-6218229013132378724
182,Tech,2373442895034963753
183,Defensecontractors,474986800324994455
184,Financialservices,996514602531674170
184,Tech,2373442895034963753
186,Transportation,3140530495907979414
189,Transportation,3140530495907979414
189,RentalLeasingServices,8509650716500142439
190,OilGas,-4192961412728851669
190,Dowjones,-7335146667561650934
190,Energy,-2490813042158503427
191,Healthcare,4999567491202240723
193,Financialservices,996514602531674170
193,Banks,5423772148476418639
194,Medicaldevices,-2739338454252634078
196,Insurance,7000230057071041224
197,Professionalservices,2898755620386977973
199,Professionalservices,2898755620386977973
200,Travel,2883696693193604344
200,CruiseLines,-4084478583062520063
202,Food,-1791250089609384727
204,Wellness,1737690534073754958
205,Insurance,7000230057071041224
206,Professionalservices,2898755620386977973
206,Software,766138134349121984
206,Tech,2373442895034963753
207,Pulpandpaper,-2756073516127434538
208,Tech,2373442895034963753
208,Software,766138134349121984
209,Pharmaceuticals,8926960006196816921
209,Biotech,-5477649158227911950
210,Insurance,7000230057071041224
212,Restaurantchains,8667423472038992413
213,Food,-1791250089609384727
217,Dowjones,-7335146667561650934
217,Chemicals,1532779266960090644
218,Financialservices,996514602531674170
218,Banks,5423772148476418639
219,Tech,2373442895034963753
219,Telecommunication,-366396660629370360
220,WasteRecycling,4111722913158069628
221,Pharmaceuticals,8926960006196816921
221,Biotech,-5477649158227911950
223,CruiseLines,-4084478583062520063
223,Travel,2883696693193604344
224,Food,-1791250089609384727
227,Consumergoods,3574918603920959279
229,Healthcare,4999567491202240723
230,Conglomerate,5540569127684541958
231,Ridesharing,-781225771775977297
231,Internet,9213653917245580410
231,Tech,2373442895034963753
231,Transportation,3140530495907979414
232,Food,-1791250089609384727
233,Pharmaceuticals,8926960006196816921
233,Biotech,-5477649158227911950
234,Transportation,3140530495907979414
235,SpecialtyVehicles,8273981569943876362
236,Retail,8659073855545147165
237,Manufacturing,918788116521242338
237,Electronics,-2937793794179883072
237,Tech,2373442895034963753
237,TechHardware,1748841266191066881
238,Consumergoods,3574918603920959279
239,Semiconductors,7893943476131326539
239,Tech,2373442895034963753
239,TechHardware,1748841266191066881
240,Electricity,3312256779847957138
242,Food,-1791250089609384727
242,Retail,8659073855545147165
243,Food,-1791250089609384727
244,Semiconductors,7893943476131326539
244,Tech,2373442895034963753
244,TechHardware,1748841266191066881
245,Financialservices,996514602531674170
245,Tech,2373442895034963753
